SMILES,pCHEMBL,Molecular Weight,logP,Data
COC12CCC3(CC1C(O)CCc1ccccc1)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)C2O5,10.6,501.67,4.61,COC12CCC3(CC1C(O)CCc1ccccc1)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)C2O5
COCCOc1ccc(N2CCN(CCn3cnc4c3nc(N)n3nc(-c5ccco5)nc43)CC2)cc1,9.05,503.57,2.16,COCCOc1ccc(N2CCN(CCn3cnc4c3nc(N)n3nc(-c5ccco5)nc43)CC2)cc1
CN(C(=O)Cc1cccc2[nH]ccc12)C1CCCCC1N1CCCC1,6.09,339.48,3.58,CN(C(=O)Cc1cccc2[nH]ccc12)C1CCCCC1N1CCCC1
Cc1cccc(CNC(=O)c2nc(N)nc(-c3ccco3)n2)c1,8.12,309.33,1.95,Cc1cccc(CNC(=O)c2nc(N)nc(-c3ccco3)n2)c1
COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,5.18,458.58,5.35,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1
C=CCN(CCc1cccc(O)c1)CCc1cccc(O)c1.Cl,6.81,333.86,3.37,C=CCN(CCc1cccc(O)c1)CCc1cccc(O)c1.Cl
COCCCNc1nc2ccccc2n2nc(-c3ccco3)nc12,6.43,323.36,2.99,COCCCNc1nc2ccccc2n2nc(-c3ccco3)nc12
Cc1cc(O)cc(C)c1CC(N)C(=O)NC(CCCNC(=N)N)C(=O)NC1Cc2ccccc2CN(CCC(=O)NC(CCCNC(=N)N)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(CCCNC(=N)N)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(CCCNC(=N)N)C(N)=O)C1=O,7.33,1575.85,,Cc1cc(O)cc(C)c1CC(N)C(=O)NC(CCCNC(=N)N)C(=O)NC1Cc2ccccc2CN(CCC(=O)NC(CCCNC(=N)N)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(CCCNC(=N)N)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(CCCNC(=N)N)C(N)=O)C1=O
CN(C(=O)Cc1ccccc1)C1CCC2(CCCO2)CC1N1CCCC1,8.18,356.51,3.25,CN(C(=O)Cc1ccccc1)C1CCC2(CCCO2)CC1N1CCCC1
Nc1nc(-c2ccco2)c2ncn(Cc3c(F)cc(F)cc3F)c2n1,7.58,345.28,3.13,Nc1nc(-c2ccco2)c2ncn(Cc3c(F)cc(F)cc3F)c2n1
